zip_code,male_poverty_rate,female_poverty_rate,median_income,mean_income,poverty_rate
ZCTA5 75778,8,15.7,39028,67127,16.7
ZCTA5 75779,41.4,44.3,-,65011,21.1
ZCTA5 75780,8.3,2.8,46429,52746,3.7
ZCTA5 75783,3.8,15.3,55039,68470,12.1
ZCTA5 75784,10.5,19.9,44188,60752,15.7
ZCTA5 75785,5.4,13.9,47743,58758,14
ZCTA5 75788,70.7,-,-,N,0
ZCTA5 75789,4.8,13.1,56036,71584,11.8
ZCTA5 75790,6.8,19.2,59250,74954,16.1
ZCTA5 75791,3.6,16.5,74886,83979,13.1
ZCTA5 75792,15.8,30.1,47946,58423,28.2
ZCTA5 75801,3.7,18.8,38674,51415,16.4
ZCTA5 75803,4.8,15.2,44183,60188,14.5
ZCTA5 75831,6,18.7,43292,59625,17.1
ZCTA5 75832,8.3,100,-,N,39.3
ZCTA5 75833,7.9,18,48098,103908,18.9
ZCTA5 75835,5.3,29.7,33292,50373,28
ZCTA5 75838,20.5,21,41583,64741,21.8
ZCTA5 75839,4.5,17,44856,54423,13.3
ZCTA5 75840,4.6,15.7,55000,75731,14.5
ZCTA5 75844,4.7,17.4,40890,55813,13.5
ZCTA5 75845,6.3,8.8,48880,64029,11
ZCTA5 75846,11.4,26.1,36903,65204,25.4
ZCTA5 75847,9.9,17.1,38011,49084,17.9
ZCTA5 75848,20,63.5,48125,50593,46
ZCTA5 75849,26.8,45.8,28125,26200,30.6
ZCTA5 75850,12.2,20.8,47321,57154,14.9
ZCTA5 75851,6.8,12.1,51780,57335,13.2
ZCTA5 75852,7,19.4,51250,73376,14.1
ZCTA5 75853,10.2,5.8,36034,59331,5.4
ZCTA5 75855,4.8,13.7,40529,58362,10.7
ZCTA5 75856,34.5,14.9,180727,141938,8.4
ZCTA5 75858,**,-,-,-,-
ZCTA5 75859,12.1,19,43885,68363,25.5
ZCTA5 75860,7.2,23.1,57208,73190,22.6
ZCTA5 75861,11.2,14.5,60000,60089,13.3
ZCTA5 75862,4.1,16.8,39466,55501,16.4
ZCTA5 75901,3.7,18.9,50813,64084,17.6
ZCTA5 75904,3.4,16.7,54306,65958,15.5
ZCTA5 75925,9.2,23.9,39461,56799,25.8
ZCTA5 75926,10.8,16.7,39868,58394,18.2
ZCTA5 75928,20.6,36.6,-,46546,29.4
ZCTA5 75929,8.6,21.1,62885,78443,16.1
ZCTA5 75930,11.5,38.4,29569,52612,33.2
ZCTA5 75931,11.8,15.3,46393,62167,20.2
ZCTA5 75932,11.9,14.5,48952,68161,17.9
ZCTA5 75933,14.6,33.3,43565,53280,26.5
ZCTA5 75934,5.2,0,84886,92714,0.9
ZCTA5 75935,5.5,23.9,43479,58853,22.6
ZCTA5 75936,7.2,12.7,52500,67330,11.9
ZCTA5 75937,4.4,12.4,37875,55989,10.5
ZCTA5 75938,6.5,9.4,42083,57475,10.9
ZCTA5 75939,7.3,24.5,45909,66387,24.1
ZCTA5 75941,6.8,26.7,47500,60672,23.7
ZCTA5 75942,34.2,22.4,-,N,13.1
ZCTA5 75943,15.5,12.6,45521,98109,15.8
ZCTA5 75944,10.7,16.8,42407,56584,18.9
ZCTA5 75946,6.6,18.8,41250,56864,16.3
ZCTA5 75948,5.6,21.5,33670,59248,20.2
ZCTA5 75949,5.9,24.1,34555,54177,19.9
ZCTA5 75951,4.9,27.2,40069,66961,21.8
ZCTA5 75954,5.8,26.2,42813,58103,20.7
ZCTA5 75956,9.2,25.7,42500,53110,26
ZCTA5 75959,4.3,0,51165,56707,1.1
ZCTA5 75960,31.3,67.1,-,40694,50.7
ZCTA5 75961,5.6,34.1,37092,55487,30.9
ZCTA5 75962,**,-,-,-,-
ZCTA5 75964,5,30.2,44857,58210,28.4
ZCTA5 75965,4,20.2,48597,74830,18.2
